No,Class Name, Parent
482,Resort,"Thing,Organization,LocalBusiness,LodgingBusiness,"
483,ProfessionalService,"Thing,Organization,LocalBusiness,"
484,RadioStation,"Thing,Organization,LocalBusiness,"
485,RealEstateAgent,"Thing,Organization,LocalBusiness,"
486,RecyclingCenter,"Thing,Organization,LocalBusiness,"
487,SelfStorage,"Thing,Organization,LocalBusiness,"
488,ShoppingCenter,"Thing,Organization,LocalBusiness,"
489,BowlingAlley,"Thing,Organization,LocalBusiness,SportsActivityLocation,"
490,ExerciseGym,"Thing,Organization,LocalBusiness,SportsActivityLocation,"
491,GolfCourse,"Thing,Organization,LocalBusiness,SportsActivityLocation,"
492,HealthClub,"Thing,Organization,LocalBusiness,SportsActivityLocation,"
493,PublicSwimmingPool,"Thing,Organization,LocalBusiness,SportsActivityLocation,"
494,SkiResort,"Thing,Organization,LocalBusiness,SportsActivityLocation,"
495,SportsClub,"Thing,Organization,LocalBusiness,SportsActivityLocation,"
496,StadiumOrArena,"Thing,Organization,LocalBusiness,SportsActivityLocation,"
497,TennisComplex,"Thing,Organization,LocalBusiness,SportsActivityLocation,"
498,AutoPartsStore,"Thing,Organization,LocalBusiness,Store,"
499,BikeStore,"Thing,Organization,LocalBusiness,Store,"
500,BookStore,"Thing,Organization,LocalBusiness,Store,"
501,ClothingStore,"Thing,Organization,LocalBusiness,Store,"
502,ComputerStore,"Thing,Organization,LocalBusiness,Store,"
503,ConvenienceStore,"Thing,Organization,LocalBusiness,Store,"
504,DepartmentStore,"Thing,Organization,LocalBusiness,Store,"
